"md5_email"|"V01"|"V02"|"V03"|"V04"|"V05"|"V06"|"V07"|"V08"|"V09"|"V10"|"V11"|"V12"|"V13"|"V14"|"V15"|"V16"|"V17"|"V18"|"V19"|"V20"|"V21"|"V22"|"V23"|"V24"|"V25"|"V26"|"V27"|"V28"|"V29"|"V30"|"V31"|"V32"|"V33"|"V34"|"V35"|"V36"|"V37"|"V38"|"V39"|"V40"|"V41"|"V42"|"V43"|"V44"|"V45"|"V46"|"V47"|"V48"|"V49"|"V50"|"V51"|"V52"|"V53"|"V54"|"V55"|"V56"|"V57"|"V58"|"V59"|"V60"|"Year"|"Week"
"838"|"b62c73cdaf59e0a13de495b84030734e"|3.4|4.2|2.6|4.2|2.6|2.6|4.2|2.6|3.4|4.2|4.2|3.4|3.4|4.2|5|3.4|5|3.4|1.8|2.6|2.6|2.6|4.2|3.4|5|2.6|4.2|3.4|2.6|2.6|4.2|1.8|3.4|4.2|4.2|4.2|2.6|4.2|2.6|4.2|4.2|4.2|4.2|2.6|4.2|4.2|2.6|3.4|2.6|4.2|1.8|4.2|2.6|3.4|4.2|4.2|1.8|4.2|2.6|4.2|2020|14
"837"|"1358d38e6898b1a0e5940f8b99ba2325"|3.4|3.4|3.4|4.2|4.2|4.2|5|3.4|4.2|3.4|2.6|3.4|3.4|4.2|4.2|4.2|4.2|4.2|3.4|2.6|3.4|4.2|4.2|4.2|2.6|4.2|4.2|3.4|2.6|4.2|4.2|3.4|4.2|3.4|4.2|5|3.4|4.2|4.2|4.2|4.2|4.2|4.2|4.2|3.4|4.2|4.2|2.6|3.4|4.2|3.4|4.2|4.2|4.2|4.2|3.4|4.2|4.2|3.4|3.4|2019|48
"828"|"bfd1c69406d322d17312e965752813c2"|2.6|4.2|1|4.2|4.2|2.6|3.4|1.8|4.2|4.2|1.8|2.6|3.4|5|4.2|4.2|5|4.2|3.4|1.8|1|3.4|4.2|3.4|1.8|4.2|5|3.4|1.8|4.2|3.4|4.2|4.2|3.4|4.2|3.4|1.8|5|3.4|4.2|1.8|2.6|4.2|4.2|4.2|4.2|4.2|2.6|3.4|1.8|2.6|2.6|5|4.2|3.4|2.6|2.6|4.2|4.2|4.2|2019|18
"829"|"9cf05d7d516099c9533b98beb91993b9"|5|5|1.8|5|5|4.2|1|5|5|5|1|5|5|5|5|5|5|3.4|3.4|3.4|4.2|5|5|3.4|1.8|5|5|4.2|3.4|5|5|4.2|5|5|5|5|2.6|3.4|5|4.2|5|5|3.4|5|5|5|5|3.4|5|5|5|5|5|5|1|2.6|3.4|5|5|3.4|2019|18
"830"|"a6544303c18e090ae3452aa266ecb2c0"|3.4|3.4|2.6|2.6|5|3.4|3.4|3.4|5|2.6|1.8|3.4|2.6|2.6|4.2|4.2|4.2|4.2|2.6|2.6|1|3.4|4.2|5|1.8|4.2|2.6|4.2|1.8|4.2|3.4|3.4|4.2|3.4|4.2|4.2|1.8|3.4|3.4|4.2|4.2|3.4|4.2|3.4|4.2|5|3.4|3.4|3.4|3.4|3.4|5|4.2|4.2|3.4|3.4|2.6|4.2|2.6|4.2|2019|18
"831"|"ed03a1da7edce96ccd4f614d210a13e2"|3.4|3.4|1.8|5|4.2|4.2|5|5|5|5|1|5|5|3.4|5|5|5|5|5|1|1|5|5|5|1|5|5|5|1|5|5|4.2|5|5|5|5|4.2|5|5|5|3.4|5|5|5|5|5|4.2|5|4.2|3.4|5|5|5|5|5|5|5|5|1.8|5|2019|18
"832"|"4e33642a36ab6d34650a47e4cbd3fe07"|3.4|2.6|2.6|2.6|5|2.6|2.6|1.8|5|2.6|1.8|2.6|2.6|2.6|3.4|2.6|5|4.2|1.8|1.8|1.8|3.4|5|3.4|1.8|4.2|3.4|3.4|1.8|4.2|3.4|3.4|2.6|2.6|3.4|3.4|1.8|3.4|4.2|3.4|3.4|3.4|3.4|2.6|2.6|3.4|4.2|4.2|2.6|2.6|2.6|2.6|4.2|4.2|3.4|3.4|3.4|3.4|3.4|3.4|2019|18
"833"|"36d78349d2643d3a27ecf9de4092973a"|5|1.8|2.6|5|5|5|5|5|5|4.2|1.8|5|5|5|5|5|5|5|4.2|1|1|5|4.2|5|1|5|5|5|2.6|5|5|5|2.6|5|2.6|5|1.8|1.8|5|5|5|5|5|5|5|5|5|5|5|1|5|3.4|5|5|1|5|5|5|3.4|5|2019|18
"834"|"728915178863fbb1af001d6a5625dc41"|4.2|2.6|4.2|5|5|5|4.2|1|5|4.2|3.4|3.4|2.6|3.4|5|4.2|5|3.4|2.6|1.8|4.2|4.2|5|5|1|5|2.6|3.4|1|4.2|4.2|4.2|4.2|3.4|3.4|4.2|3.4|3.4|5|5|4.2|4.2|4.2|5|4.2|5|5|3.4|3.4|2.6|3.4|4.2|4.2|5|4.2|4.2|5|4.2|4.2|2.6|2019|18
"835"|"f529455e4400e76f323f8c68154e194b"|4.2|5|1.8|4.2|4.2|5|3.4|3.4|4.2|3.4|2.6|2.6|4.2|5|3.4|4.2|5|4.2|2.6|2.6|1.8|3.4|5|3.4|1.8|4.2|3.4|5|1.8|5|4.2|1.8|4.2|3.4|2.6|3.4|2.6|3.4|3.4|5|3.4|3.4|3.4|3.4|4.2|5|3.4|4.2|3.4|4.2|2.6|3.4|5|5|3.4|3.4|3.4|3.4|1.8|3.4|2019|18
"836"|"0445a05e751e17de30ebdcbcdb575d59"|1.8|2.6|3.4|4.2|5|3.4|2.6|2.6|5|3.4|2.6|4.2|2.6|3.4|4.2|3.4|4.2|4.2|3.4|1.8|2.6|3.4|4.2|5|1.8|3.4|2.6|3.4|2.6|4.2|5|5|5|5|5|5|3.4|5|5|5|4.2|5|5|5|5|5|5|4.2|4.2|3.4|3.4|5|5|5|2.6|5|5|5|4.2|5|2019|18
"827"|"a5117236f8b18e8881fe9c7c975720ac"|5|5|1|5|5|5|5|5|5|1|5|5|5|5|5|5|5|5|5|1|5|5|5|1|1|5|1|1|5|5|5|1|5|5|1|5|5|5|5|5|5|5|5|5|5|5|5|1|5|1|5|5|5|5|5|5|5|5|5|5|2019|16
"826"|"13a5d14b31a55513c1f27e9b388c1b8f"|3.4|4.2|1.8|1.8|3.4|3.4|2.6|4.2|1.8|2.6|5|1.8|4.2|5|4.2|2.6|3.4|5|4.2|3.4|5|3.4|4.2|5|3.4|1|1.8|1.8|5|1|1.8|5|5|5|2.6|5|2.6|5|5|5|1.8|5|5|1.8|5|5|5|5|5|3.4|3.4|5|5|5|5|5|5|5|1.8|5|2019|11
